jacket saco
can tonel
dam dique
"cable car" funicular
"cable car" teleférico
loudspeaker altavoz
loudspeaker altoparlante
horn bocina
toilet baño
bootblack lustrador
janitor empleada
janitor "empleada doméstica"
janitor muchacha
"screen door" "puerta de cedazo"
directory guía
"lump of sugar" "cubitos de azúcar"
"lump of sugar" "terrón de azúcar"
bankbook cartilla
bankbook libreta
spray atomizador
spray spray
rotary redondel
rotary rotonda
toothpaste "pasta de dientes"
loudspeaker altoparlante
loudspeaker bocina
blind persiana
"flower pot" maceta
"flower stand" jardinera
"flower stand" maceta
"automatic cashier" "cajero automático"
"security camera" "cámara de seguridad"
"portable writing case" portaplumas
"portable writing case" tintero
awning toldo
tripod trípode
battery baterías
battery pilas
pushcart carretilla
"shopping basket" canasta
wedge cuña
check-room locker
drain reposadera
drain tragante
carrycot canguro
"maternity dress" blusón
"maternity dress" "ropa de maternidad"
number número
number número
strecher camilla
fans afición
fans aficionados
sting aguijón
sting shute
apricot albaricoque
food alimento
food comestible
raising subida
"post-office box" "apartado postal"
brook riachuelo
murderer asesino
be "be de bueno"
be "be de burro"
be "be grande"
"scholarship holder" becado
slap cachetada
slap tortazo
bar cafetería
puff golpe
puff jalón
waiter mesero
"dirty trick" cabronada
"dirty trick" "mala pasada"
"dirty trick" trastada
switchboard "planta telefónica"
pig cerdo
pig coche
pig marrano
resignation renuncia
cooking cocinada
cooking hervida
avarice ambición
avarice avaricia
avarice codicia
shell caparazón
shell concha
chat charla
chat conversación
chat plática
anger cólera
anger enojo
anger rabia
cost costo
crossing cruce
slope cerro
slope cuesta
slope pendiente
slope subida
bay bahía
amusement distracción
amusement entretenimiento
school colegio
school escuela
school instituto
stay estadía
miss equivocación
miss error
financier administrador
financier "asesor financiero"
financier financiero
bangs fleco
"little flower" florecita
plumber plomero
stranger extranjero
stranger turista
form cuestionario
form formulario
form solicitud
"little fire" fueguito
"little fire" llamita
rubber caucho
rubber goma
rubber resina
hunger hambre
beauty belleza
beauty bonito
beauty lindo
beauty lindura
grass grama
iron hierro
concrete cemento
concrete mezcla
hospital hospital
graduate graduado
graduate licenciado
graduate profesional
degree doctorado
degree licenciatura
degree maestría
discount liquidación
discount ofertas
discount realización
call llamada
arrival llegada
whip chicote
whip látigo
teacher maestro
weeds maleza
weeds monte
spring manantial
butter mantequilla
block cuadra
block manzana
"rocking chair" mecedora
cheek cachetes
cheek mejillas
peach durazno
peach melocotón
monkey mico
monkey mono
mosquito mosco
mosquito mosquito
mosquito zancudo
jackknife navaja
"wet nurse" nodriza
worker jornalero
worker obrero
chance chance
chance oportunidad
"unemployed man" desempleado
unemployment desempleo
seafront malecón
potato papa
sponsor patrocinador
toll peaje
laziness haraganería
laziness hueva
laziness pereza
"little stone" piedrecita
"little stone" piedrita
"little legs" patitas
"little legs" piernitas
apartment apartamento
"small square" parquecito
"small square" placita
banana banano
banana guineo
policeman agente
policeman guardia
policeman policía
dust polvareda
dust polvo
spokesman portavoz
spokesman representante
spokesman vocero
"small village" pueblito
"little door" puertecita
"little door" puertita
grade calificación
grade nota
kerosene gas
kerosene querosén
pickpocket ladrón
pickpocket ratero
raid operativo
raid redada
relation relación
repairing compostura
repairing reparación
slip resbalón
rumor bola
rumor chisme
rumor rumor
"military service" "servicio militar"
hissing chiflido
hissing silbido
position localización
position posición
position ubicación
arrogance "aire de grandeza"
arrogance "aires de grandeza"
arrogance arrogancia
arrogance prepotencia
arrogance soberbia
bribery corrupción
bribery mordida
bribery soborno
"soy bean" soya
change sencillo
bar bar
bar cantina
tidbits boca
tidbits boquita
earthquake sismo
earthquake temblor
earthquake terremoto
store almacén
store tienda
"small store" tiendecita
"small store" tiendita
shooting balacera
shooting tiroteo
courage huevos
courage valentía
courage valor
breeze brisa
breeze vientecito
visa visa
glance mirada
glance vistazo
change cambio
change vuelto
walk vueltecita
walk vueltita
sharp afilado
sharp filoso
"right now" ahorita
"right now" ya
bitter amargo
yellowish amarillento
before antes
approximately casi
approximately como
approximately "más o menos"
here aquí
risky arriesgado
risky peligroso
amazing asombroso
amazing sorprendente
"in spite of everything" "a pesar de todo"
"in spite of everything" "aun así"
"in spite of everything" "después de todo"
astute buzo
astute listo
astute pila
bluish azulado
brilliant brillante
avaricious ambicioso
avaricious codicioso
against "en contra"
"as soon as" "en cuanto"
"the more" "mientras más"
under "abajo de"
under "debajo de"
thin delgado
thin flaco
inside adentro
in "adentro de"
"in my heart" "en mi interior"
"in my heart" "por dentro"
behind "atrás de"
behind "detrás de"
"behind me" "atrás de mí"
"behind me" "detrás de mí"
difficult complicado
difficult difícil
difficult fregado
where ¿dónde?
where "¿en dónde?"
"above me" "arriba de mí"
"above me" "encima de mí"
"above me" "sobre mí"
"opposite me" "adelante de mí"
"opposite me" "delante de mí"
"opposite me" "enfrente de mí"
angry bravo
angry disgustado
angry emputado
angry enojado
angry molesto
often "con frecuencia"
often frecuentemente
often seguido
"sensitive to the cold" friolento
outside afuera
greasy grasoso
grayish grisáceo
skillfull "bien pilas"
skillfull bueno
skillfull capaz
skillfull hábil
skillfull habilidoso
beautiful agradable
beautiful bello
beautiful bonito
beautiful chulo
beautiful hermoso
beautiful lindo
beautiful precioso
bony huesudo
"close to me" "a mi lado"
"close to me" "junto a mí"
weak débil
weak ligero
weak liviano
"in the morning" "durante la mañana"
"in the morning" "en la mañana"
"in the morning" "por la mañana"
"at least" "al menos"
"at least" "aunque sea"
"at least" "por lo menos"
"at least" siquiera
filthy cochino
filthy mugroso
very bastante
very muy
little chiquito
little joven
little pequeño
standing "de pie"
standing parado
dusty empolvado
dusty "lleno de polvo"
dusty sucio
perhaps "es posible que"
perhaps "es probable que"
perhaps "puede ser que"
perhaps "tal vez"
fast luego
fast pronto
fast rápido
next "jueves entrante"
next "jueves que viene"
next "próximo jueves"
clear arreglado
clear elegante
clear limpio
clear ordenado
which ¿cuál?
which ¿qué
radiant feliz
radiant radiante
radio "de radio"
radio "en el radio"
radio "por la radio"
radio radial
recently "hace poco"
recently recientemente
recently últimamente
comforting reconfortante
cold catarro
cold gripe
cold resfriado
cold resfrío
broken quebrado
broken roto
coarse brusco
coarse grosero
coarse "mal educado"
coarse ordinario
coarse rudo
slant desalineado
slant desviado
slant ladeado
slant torcido
"in a low voice" bajito
"in a low voice" "en voz baja"
"in a low voice" quedito
"in a low voice" suave
act "ejercer  de"
annoy chingar
annoy fastidiar
annoy fregar
annoy joder
arrive llegar
break quebrar
break romper
clear chapear
clear "quitar la mala hierba"
desorient confundir
desorient despistar
dial marcar
dismiss despedir
dismiss echar
dismiss sacar
drench mojado
drive manejar
encourage incentivar
encourage mejorar
enter "entrar a"
enter "entrar en"
escape deshacerse
escape escapar
escape zafar
escape zafarse
"fall in love" colgarse
fill rellenar
"get excited" alborotar
"get excited" provocar
"get ill" enfermarse
"get ill" "ponerse enfermo"
"go into" "entrar al"
"go into" "penetrar en el"
gossip chismear
gossip chismosear
gossip murmurar
graduate "graduarse de"
graduate "recibirse de"
graduate "salir de"
graduate "terminar la carrera"
hurry apurarse
impress impactar
impress impresionar
kill asesinar
kill matar
kill ultimar
kneel arrodillarse
kneel hincarse
lick lamer
light encender
light prender
matter enojar
matter importar
miss "acordarse de"
miss extrañar
overturn "darse vuelta"
overturn volcarse
overturn voltearse
pamper alcahuetear
pamper consentir
pamper malcriar
pamper mimar
park estacionar
park parquear
postpone atrasar
postpone posponer
postpone retrasar
puff fumar
puff jalar
pull halar
pull jalar
punch golpear
punch pegar
punch sonar
"put in" "entrar a"
"put in" "meterse a"
"put in" "meterse en"
"put on" ponerse
repair arreglar
repair reparar
require requerir
return regresar
search buscar
search registrar
search revisar
seem "se me hace"
seem suponer
"sell at a bargain price" liquidar
"sell at a bargain price" "poner en oferta"
"sell at a bargain price" rebajar
"sell at a bargain price" rematar
shake mover
shake sacudir
shake zarandear
shoot balear
shoot disparar
skin desollar
skin despellejar
skin "quitar el cuero"
sponsor patrocinar
"stand up" levantarse
"stand up" pararse
"take a short cut" acortar
"take a short cut" "acortar camino"
"take a short cut" "tomar un atajo"
"take off" desvestirse
"take off" quitarse
throw botar
throw lanzar
throw tirar
tie amarrar
trick vacilar
turn cruzar
turn "dar vuelta"
turn girar
"turn around" "dar la vuelta"
"turn around" voltear
turn "dar vuelta"
turn girar
turn voltear
undress desvestirse
unpack desempacar
unpack desenvolver
upset apenar
upset "dar pena"
value valorar
value valuar
watch mirar
whistle chiflar
whistle silbar
"good student" aplicado
"good student" cerebrito
"good student" nerdo
"poor student" haragán
"poor student" huevón
"poor student" "mal estudiante"
grind machetero
grind remachón
"lazy student" dejado
"lazy student" flojo
"lazy student" haragán
"play truant" capearse
"play truant" escaparse
"play truant" "faltar a clase"
truant capiusa
"cheat sheet" chivo
cheat copiar
"whisper the answer" soplar
"give a failing grade" aplazar
"give a failing grade" reprobar
"call the roll" "pasar la lista"
"call the roll" "tomar asistencia"
"stop it" "¡Deja de chingar!"
"stop it" "¡Deja de fregar!"
"stop it" "¡Deja de molestar!"
"stop it" "¡Déjame en paz!"
"stop it" "¡Dejáme tranquilo!"
"stop it" "¡No fregués!"
"stop it" "¡No jodás!"
"stop it" "¡No me estés fregando!"
tell-tale chismoso
tell-tale soplón
flatterer culebra
flatterer lambiscón
flatterer lameculos
bully abusivo
bully buscapleitos
bully peleonero
"bullied child" pendejo
"bullied child" víctima
"popular student" "buena gente"
"popular student" "buena onda"
meek introvertido
meek tímido
hooligans mara
hooligans pandilla
repeater repitente
"close friend" brother
"close friend" "buen cuate"
"close friend" cuate
"close friend" "mejor amigo"
"close friend" "uña y carne"
boss jefe
pay salario
tired agotado
tired cansado
tired molido
penniless "a cero"
penniless "en la calle"
penniless "en la calle de la amargura"
penniless "en la lipidia"
penniless gafo
penniless quebrado
penniless "sin dinero"
penniless "sin un len"
party convivio
party fiesta
policeman chonte
policeman tira
"patrol car" radiopatrulla
"patrol wagon" "carro de policía"
"patrol wagon" patrulla
plainclothes-man judicial
plainclothes-man oreja
plainclothes-man "policía civil"
prison bote
prison cárcel
prison "estación de policía"
cigarette cigarro
beer chela
beer fría
drug hierba]yerba
drug mota
storm aguacero
storm chaparrón
storm tormenta
"be unfaithfull" "quemar el rancho"
horns cuernos
contact conecte
contact recomendaciones
contact referencias
trouble enojo
trouble lío
beating cachetada
beating chicoteada
beating nalgada
beating sopapo
"old man" "persona mayor"
"old man" viejito
baby bebé
baby nene
baby "recién nacido"
drunken bolo
drunken borracho
drunken ebrio
drunken "pasado de tragos"
beat fajar
beat golpear
beat pijear
beat sopapear
thin delgado
thin escuálido
thin flaco
thin seco
thin "ser un hilo"
fat cerdo
fat gordo
tall alto
short bajo
short chaparro
short enano
charming atractiva
charming "bien bonita"
charming bonita
charming buena
charming culazo
charming "está buena"
charming "está buenísma"
charming "está como quiere"
charming mango
attractive atractivo
attractive guapísimo
attractive guapo
attractive mango
"not attractive" adefesio
"not attractive" feo
"not attractive" horrible
bad-smelling apestoso
bad-smelling cerdo
bad-smelling cochino
bad-smelling shuco
head coco
head shola
hair greña
hair pelambrera
hair pelo
feet patas
pregnant embarazada
pregnant "esperando bebé"
"very cold" "estar muerto de frío"
"very cold" "estarse congelando"
"very cold" "morirse de frío"
competent atinado
competent buso
competent competente
competent culto
competent inteligente
competent listo
competent pilas
fool baboso
fool bobo
fool bruto
fool burro
fool cretino
fool estúpido
fool idiota
fool ignorante
fool imbécil
fool inútil
fool menso
fool pasmado
fool tarado
fool tonto
stranger "de afuera"
stranger "de otra parte"
stranger extranjero
coarseness grosería
foolishness burrada
foolishness estupidez
foolishness idiotez
foolishness imbecilidad
foolishness insensatez
foolishness tontería
informer bocón
informer chismoso
informer oreja
informer soplón
flatterer adulador
flatterer chaquetero
flatterer culebra
fluke chiripa
fluke chiripazo
fluke suerte
rich adinerado
rich millonario
rich platudo
rich rico
boring insoportable
boring odioso
boring pesado
lazy holgazán
lazy huevón
lazy perezoso
poor pelado
poor pobre
"sexuallly aroused" caliente
"sexuallly aroused" deseoso
"sexuallly aroused" excitado
hello Aló.
hello ¿Aló?
hell! ¡Híjole!
hell! "A la gran puta"
hell! "A la púchica"
hell! Ay.
hell! púchica
"of course!" "¡Desde Luego!"
"of course!" ¡Exacto!
"of course!" "Claro que sí."
"of course!" "Por supuesto."
"isn't it?" "¿No es así?"
"isn't it?" ¿Verdad?
bye Adiós.
bye Chao.
"cannot remember" "No me acuerdo."
"cannot remember" "Se me borró el cassette."
"cannot remember" "Se me fue la onda."
"cannot remember" "Tengo la mente en blanco."
"old boy" amigo
"old boy" mano
annoying desgracia
annoying "mala onda"
"out of order" arruinado
"out of order" descompuesto
"out of order" fregado
tremendous admirable
tremendous buenísimo
tremendous excelente
tremendous pilas
great! ¡Buenísimo!
great! ¡Excelente!
great! ¡Magnífico!
great! "¡Qué bien!"
great! "¡Qué buena onda!"
great! "¡Qué rico!"
great! ¡Súper!
"just behind" "atrás de"
"just behind" "justo detrás"
apparently "al parecer"
apparently supuestamente
"right now" ahorita
"right now" "de inmediato"
"right now" "de una vez"
"a lot" cachimbo
"a lot" chingo
"a lot" montón
"a lot" chorro
"a lot" gentío
"a lot" montón
"a lot" mundo
"term payment" "a crédito"
"term payment" "a plazos"
"term payment" "en mensualidades"
"term payment" "por abonos"
feverish afiebrado
feverish "con fiebre"
feverish "con temperatura"
sewer "aguas negras"
sewer alcantarilla
sewer "tubería de aguas negras"
stretcher carretillas
"pile up" amontonarse
handle asa
handle oreja
pretty atractiva
pretty bonita
pretty linda
uproar alboroto
uproar bulla
uproar relajo
lock cerradura
lock chapa
cord cuerda
cord lazo
ahead delante
ahead "en frente"
thread enhebrar
angry bravo
angry disgustado
angry enfadado
angry enojado
angry molesto
"well up" experto
expel despedir
expel echar
fuck acostarse
fuck coger
fuck "hacer el amor"
talkative hablador
talkative parlanchín
talkative platicador
obscene degenerado
obscene indecente
obscene inmoral
obscene obsceno
merchandise mercadería
merchandise producto
knock-kneed corneto
skin piel
presentiment corazonada
presentiment presentimiento
resin brea
resin resina
quarrel altercado
quarrel disputa
quarrel pelea
quarrel pleito
quarrel trifulca
delay atrasar
delay demorar
delay tardar
"in vain" "de balde"
"in vain" "en vano"
"in vain" infructuosamente
"in vain" inútilmente
"in vain" "por gusto"
unfortunate desdichado
unfortunate salado
unfortunate "tener mala suerte"
spoiled consentido
spoiled mimado
aperitif aperitivo
bar bar
broadcast transmitir
"cellophane tape" tape
"center half" mediocampista
chalet "casa de campo"
chalet chalet
coffin ataúd
coffin caja
cook cocer
cook hervir
"country man" campesino
crane grúa
"down payment" enganche
"driving licence" licencia
"driving licence" "licencia de conducir"
"fruit cup" "coctel de frutas"
"fruit cup" "ensalada de frutas"
"gas station" gasolinera
interim intermedio
interview entrevistar
jogging jogging
jogging trotar
landlady empleada
landlady muchacha
"long distance call" "llamada de larga distancia"
"military service" "servicio militar"
"move in together" "irse a vivir juntos"
"move in together" juntarse
obstinate necio
peanut manía
"pick a girl up" salir
"play boy" mujeriego
"play boy" puto
"radio station" "estación de radio"
"radio station" radio
right! "¡Así es!"
right! ¡Exacto!
scratch aruñazo
"shameless person" caradura
"shameless person" descarado
"short cut" atajo
steal huevear
steal robar
sweetener endulzante
"take off" despegar
"television station" canal
"television station" emisora
thaw descongelar
thief ladrón
"vanity case" cosmetiquera
"add fuel to the fire" "echar leña al fuego"
"admit one's responsibility" "dar la cara"
"admit one's responsibility" "hacerle frente"
"attend with efficiency" "estar en todo"
"be a cold fish" "tener atole en las venas"
"be a cold fish" "tener la sangre de horchata"
"be a real chatterbox" "hablar como loro"
"be a real chatterbox" "hablar hasta por los codos"
"be angry" "echar humo"
"be angry" "estar bravo"
"be as sharp as a needle" "ser pilas"
"be born lucky" "nacer con estrella"
"be broke, penniless" "andar quebrado"
"be careful" "tener cuidado"
"be daydreaming" "andar en gallo"
"be daydreaming" "andar por las nubes"
"be daydreaming" "estar distraído"
"be falling asleep" "caerse de sueño"
"be falling asleep" "morirse de sueño"
"be gullible" "ser ingenuo"
"be hungry" "pasar hambre"
"be in a mess" "estar hecho un desastre"
"be in a mess" "estar patas arriba"
"be in a state of chaos" "andar fuera de onda"
"be in one's element" "estar como pez en el agua"
"be informed" "estar al día"
"be informed" "estar al tanto"
"be informed" "estar enterado"
"be inseparable" "ser uña y carne"
"be left holding the bag" "andar por la calle de la amargura"
"be left holding the bag" "quedarse con los colochos hechos"
"be left holding the bag" "quedarse plantado"
"be left holding the bag" "quedarse vestido y alborotado"
"be nothing but skin and bones" "estar en los huesos"
"be nothing but skin and bones" "estar hecho un fideo"
"be nothing but skin and bones" "estar hueso y pellejo"
"be nothing but skin and bones" "quedar en los huesos"
"be obvious" "caer de su propio peso"
"be obvious" "estar claro"
"be obvious" "no tener vuelta de hoja"
"be on tenterhooks" "estar con los nervios de punta"
"be on tenterhooks" "estar en ascuas"
"be on the safe side" "curarse en salud"
"be on the safe side" "más vale prevenir que lamentar"
"be outspoken" "no andar con rodeos"
"be outspoken" "no tener pelos en la lengua"
"be packed tight" "estar como sardinas en lata"
"be packed tight" "estar repleto"
"be packed tight" "no caber ni un alfiler"
"be plain sailing" "estar regalado"
"be plain sailing" "ser pan comido"
"be plain sailing" "ser sencillo"
"be plain sailing" "ser súper fácil"
"be pregnant" "estar esperando"
"be rolling in money" "estar bien forrado"
"be rolling in money" "ser rico"
"be rolling in money" "vivir como un rey"
"be stubborn" "no dar el brazo a torcer"
"be stubborn" "ser más terco que una mula"
"be stubborn" "ser necio"
"be the boss" "hacer y deshacer"
"be the boss" "llevar las riendas"
"be the boss" "llevar los pantalones"
"be the boss" "ser el mero mero"
"be thick-headed" "ser mula"
"be touchy" "tener malas pulgas"
"be tricky" "ser buso"
"be tricky" "ser pilas"
"be unlucky" "estar salado"
"be unlucky" "tener mala pata"
"be unlucky" "tener mala suerte"
"be up to the ears in debt" "deberle a medio mundo"
"be up to the ears in debt" "estar ahogado en deudas"
"be up to the ears in debt" "estar con el agua al cuello"
"be up to the ears in debt" "estar con la soga al cuello"
"be very credulous" "ser ingenuo"
"be very stingy" "ser muy codo"
"be very stingy" "ser tacaño"
"be very stingy" "ser un agarrao"
"be well-off" "está bien económicamente"
"be well-off" "estar bien parado"
"be well-off" "tener plata"
"beat around the bush" "andar con rodeos"
"beat around the bush" "irse por las ramas"
"beat around the bush" "salirse por la tangente"
"boast of being" dárselas
bother chingar
bother "dar la lata"
bother fastidiar
bribe "dar mordida"
bribe "untarle la mano"
"burn one's fingers" "salirle el tiro por la culata"
"burn the midnight oil" "quemarse las pestañas"
"burn the midnight oil" remachar
"burst forth into a roar of laughter" "cagarse de la risa"
"burst forth into a roar of laughter" "matarse de la risa"
"burst forth into a roar of laughter" "reírse a carcajada"
"carry a big stick" "tener cuello"
"carry the can" "pagar el pato"
"carry the can" "pagar los platos rotos"
"catch someone red-handed" "agarrar con las manos en la masa"
"cause trouble" "alborotar el avispero"
"cause trouble" "armar relajo"
"change sides" "cambiarse de camiseta"
"come into one's mind" "pasar por la mente"
"complicate life" "buscar pelos en la sopa"
"complicate life" "buscar tres pies al gato"
"complicate life" "meterse en camisa de once varas"
"complicate matters" "complicar la vida"
"cost a fortune" "costar un huevo"
