jacket saco
resignation renuncia
cooking cocción
cooking cocinar
avarice ambición
shell caparazón
chat charla
chat conversación
anger rabia
cost costo
crossing cruza
slope loma
slope pendiente
bay bahía
amusement distracción
amusement diversión
amusement entretenimiento
school colegio
school escuela
school instituto
stay estadía
miss equivocación
miss error
financier analista
financier auditor
financier consultor
financier experto
bangs flequillo
bangs mechón
plumber plomero
stranger extranjero
form ficha
form formulario
form solicitud
rubber savia
hunger hambre
beauty belleza
beauty bonito
beauty lindo
grass césped
grass pasto
iron hierro
concrete concreto
concrete hormigón
hospital hospital
graduate graduado
graduate licenciado
graduate profesional
graduate titulado
degree licenciatura
degree título
discount descuento
discount liquidación
discount ofertas
discount promoción
discount rebaja
discount saldo
call llamada
arrival llegada
whip chicote
whip látigo
whip rebenque
teacher maestro
weeds maleza
weeds matorral
weeds monte
weeds yuyal
spring manantial
spring naciente
butter manteca
block cuadra
block manzana
cheek cachetes
cheek mejillas
cheek pómulos
peach durazno
monkey chimpancé
monkey mono
mosquito mosquito
jackknife cortaplumas
worker obrero
chance oportunidad
unemployment desempleo
seafront costanera
potato papa
sponsor auspiciante
sponsor patrocinador
toll peaje
toll tarifa
laziness haragán
laziness haragana
laziness haraganería
laziness pereza
apartment departamento
banana banana
policeman agente
policeman policía
dust polvadera
dust polvareda
dust polvo
spokesman delegado
spokesman portavoz
spokesman representante
spokesman vocero
grade calificación
grade puntaje
kerosene querosén
kerosene querosene
pickpocket bandido
pickpocket carterista
pickpocket raterito
pickpocket ratero
raid allanamiento
raid arresto
raid operativo
raid redada
relation relación
repairing arreglo
repairing reparación
slip patinada
slip resbalón
rumor chisme
rumor habladuría
rumor rumor
highlander serrano
hissing pitazo
hissing silbido
position orientación
position posición
position ubicación
arrogance pedantería
arrogance soberbia
bribery coima
change cambio
change sencillo
bar boliche
tidbits aperitivo
tidbits bocadito
tidbits picada
earthquake sismo
earthquake terremoto
store almacén
store comercio
store negocio
shooting balacera
shooting tiroteo
courage coraje
courage valentía
breeze vientito
visa visa
glance ojeada
glance vistazo
change vuelto
walk vueltita
sharp afilado
sharp filoso
bitter amargo
yellowish amarillento
before antes
approximately aproximadamente
approximately casi
here acá
risky arriesgado
risky peligroso
risky riesgoso
amazing sorprendente
astute astuto
astute despierto
astute vivo
bluish azulado
brilliant brillante
avaricious ambicioso
avaricious codicioso
thin delgado
thin escuálido
thin flaco
inside dentro
difficult complicado
difficult difícil
where ¿dónde?
angry cabreado
angry caliente
angry disgustado
angry enojado
angry fastidiado
angry histérico
angry molesto
often frecuentemente
often normalmente
often regularmente
often seguido
outside afuera
greasy grasoso
grayish grisáceo
grayish plomo
skillfull bueno
skillfull capaz
skillfull capo
skillfull hábil
skillfull habilidoso
beautiful agradable
beautiful bello
beautiful bonito
beautiful hermoso
beautiful lindo
beautiful precioso
bony huesudo
weak light
weak liviano
filthy atascado
filthy mugriento
very muy
little chico
little joven
little nene
standing parado
dusty polvoriento
dusty sucio
fast pronto
fast rápidamente
fast rápido
next entrante
clear arregladito
clear arreglado
clear impecable
clear limpio
clear ordenado
clear prolijo
clear pulcro
which ¿qué
radiant feliz
radiant radiante
radio radial
recently últimamente
comforting reconfortante
cold catarro
cold gripe
cold resfriado
cold resfrío
broken roto
coarse áspero
coarse bestia
coarse bruto
coarse maleducado
coarse ordinario
coarse patán
coarse rudo
coarse tosco
slant desalineado
slant inclinado
slant torcido
annoy contrariar
annoy fastidiar
annoy hinchar
annoy joder
arrive llegar
break destrozar
break partir
break romper
clear carpir
clear corpir
clear limpiar
clear podar
desorient desorientar
desorient despistar
desorient desubicar
dial discar
dial marcar
dismiss despedir
dismiss echar
dismiss sacar
dismiss suspender
drench mojado
drive conducir
drive manejar
encourage mejorar
escape deshacerse
escape liberarse
escape librarse
escape zafar
escape zafarse
fill empastar
fill emplomar
fill tapar
gossip chimentar
gossip chimosear
gossip chismosear
gossip chusmear
gossip comadrear
gossip criticar
gossip murmurar
hurry apurarse
impress impactar
impress impresionar
kidnap raptar
kill asesinar
kill liquidar
kill matar
kneel arrodillarse
kneel postrarse
lick lamer
light encender
matter disgustar
matter enojar
matter hacerle
miss extrañar
overturn volcar
overturn volcarse
pamper apañar
pamper consentir
pamper malcriar
pamper mimar
pamper tolerar
park estacionar
postpone aplazar
postpone atrasar
postpone postergar
postpone retrasar
puff aspirar
puff fumar
puff pitar
pull tirar
punch golpear
punch meter
punch pegar
punch trompear
repair arreglar
repair reparar
require requerir
search allanar
search buscar
search examinar
search inspeccionar
search investigar
search rastrear
search registrar
search revisar
seem suponer
shake agitar
shake empujar
shake mover
shake sacudir
shake zarandear
shoot balear
shoot disparar
shoot tirotear
skin despellejar
sponsor auspiciar
sponsor esponsorear
sponsor patrocinar
throw tirar
tie atar
trick bolear
trick joder
trick mentir
turn doblar
turn girar
turn volver
undress desnudarse
undress desvestirse
unpack desembalar
unpack desempacar
upset apenar
upset entristecer
value cotizar
value evaluar
value tasar
value valuar
watch mirar
whistle silbar
grind aplicado
grind dedicado
grind estudioso
grind nerd
grind tragalibros
truant fayuto
truant informal
truant irresponsable
truant vago
cheat copiar
tell-tale alcahuete
tell-tale bocón
tell-tale chismoso
tell-tale chupamedias
tell-tale metiche
tell-tale soplón
flatterer adulón
flatterer alcahuete
flatterer cepillero
flatterer chupamedias
bully agresivo
bully buscapleito
bully buscapleitos
bully buscón
bully camorrero
bully cargoso
bully patotero
bully pesado
bully pleitista
bully provocador
meek aislado
meek antipático
meek callado
meek cerrado
meek introvertido
meek reservado
meek retraído
meek serio
meek solitario
meek tímido
hooligans insoportables
hooligans patoteros
repeater aplazados
repeater burro
repeater repitente
repeater reprobado
boss jefe
pay salario
tired acabado
tired agotado
tired caigüé
tired cansado
tired decaído
tired desganado
tired molido
tired muerto
tired reventado
penniless pelado
penniless sogüé
party farra
party fiesta
policeman poli
plainclothes-man piragüe
plainclothes-man soplón
prison calabozo
prison cárcel
prison comisaría
cigarette cigarrillo
cigarette pitillo
cigarette porro
cigarette pucho
beer birra
beer cervecita
beer chop
beer pilsen
beer rubia
drug blanca
drug droga
drug estupefaciente
drug macoña
drug marihuana
drug merca
drug pasta
drug pichicata
storm diluvio
storm lluvia
storm tempestad
storm temporal
storm tormenta
horns cuernos
contact palanca
contact recomendaciones
contact socio
trouble coraje
trouble enojo
trouble fastidio
trouble lío
trouble molestia
trouble problema
beating bofetada
beating cachetada
beating chicoteada
beating golpe
beating golpiza
beating lección
beating paliza
beating patada
beating puñetazo
beating sopapo
beating tortazo
beating trompada
baby beba
baby bebé
baby bebecito
baby bebita
baby bebito
baby criatura
baby criaturita
baby nenito
baby peque
drunken alegre
drunken borrachín
drunken borracho
drunken chupado
drunken mamado
drunken pedo
drunken tomado
beat apalear
beat descuajeringar
beat garrotear
beat golpear
beat masacrar
beat patear
beat pegar
beat reventar
beat sopapear
thin esquelético
thin flacuchento
thin flacucho
thin palo
fat barrigón
fat cerdo
fat chancho
fat gordinflón
fat gordo
fat obeso
fat panzón
fat regordo
fat tanque
fat vaca
tall alto
tall enorme
tall gigante
tall girafa
tall grande
tall grandullón
tall grandulón
tall larguirucho
tall matungo
short bajito
short bajo
short chico
short chiquitito
short enano
short petaca
short petiso
short petizo
short pitufo
short retacón
charming atractiva
charming bombón
charming bonita
charming buena
charming buenísima
charming cañón
charming cueraso
charming diosa
charming divina
charming encantadora
charming encanto
charming linda
charming muñeca
charming preciosura
charming sexi
attractive apuesto
attractive atractivo
attractive buenísimo
attractive bueno
attractive churrísimo
attractive churro
attractive guapetón
attractive guapísimo
attractive hermoso
attractive lindo
attractive papacito
attractive pintón
attractive potro
attractive precioso
attractive tipazo
bad-smelling apestoso
bad-smelling asqueroso
bad-smelling cerdo
bad-smelling chancho
bad-smelling cochino
bad-smelling hediondo
bad-smelling mugriento
bad-smelling puerco
bad-smelling roñoso
bad-smelling sucio
head cabeza
head coco
head mate
hair cabello
hair pelo
feet patas
feet pies
pregnant embarazada
pregnant encinta
pregnant esperando
pregnant gorda
pregnant gordita
pregnant panzona
competent acertado
competent atinado
competent bocho
competent capaz
competent capo
competent competente
competent culto
competent inteligente
competent listo
competent perfecto
competent preparado
competent sabelotodo
competent sabio
fool animal
fool bestia
fool bobo
fool bodoque
fool bruto
fool burro
fool corto
fool demente
fool estúpido
fool huevón
fool idiota
fool ignorante
fool imbécil
fool incompetente
fool inepto
fool infeliz
fool inútil
fool lelo
fool lento
fool lerdo
fool limitado
fool mamerto
fool menso
fool metepata
fool mongólico
fool necio
fool pajarón
fool pelotudo
fool pendejo
fool tarado
fool tolongo
fool tonto
fool torpe
fool zonzo
coarseness grosería
coarseness guarangada
coarseness pavada
coarseness tarugada
foolishness bobada
foolishness bobería
foolishness boludez
foolishness burrada
foolishness disparate
foolishness estupidez
foolishness idiotez
foolishness imbecilidad
foolishness macana
foolishness pavada
foolishness pelotudez
foolishness pendejada
foolishness taradez
foolishness tontada
foolishness tontera
foolishness tontería
spaniard gallego
spaniard hispano
informer bocón
informer chismoso
informer delator
informer soplón
informer traidor
informer yagua'í
flatterer adulador
flatterer salamero
flatterer servil
fluke acomodo
fluke chiripa
fluke leche
fluke milagro
fluke pedo
fluke suerte
rich adinerado
rich millonario
rich multimillonario
rich platudo
rich ricachón
rich rico
rich riquillo
boring antipático
boring cansador
boring fastidioso
boring hincha
boring hinchabola
boring hinchapelotas
boring inaguantable
boring insoportable
boring odioso
boring pesado
boring plomazo
boring plomo
boring rompebolas
boring terrible
lazy flojo
lazy haragán
lazy holgazán
lazy perezoso
lazy vago
lazy vagoneta
poor acabado
poor pelado
poor pelagatos
poor pobre
poor pobretón
poor seco
poor sogüé
hello Hola.
hello Sí.
hello ¿Hola?
hello ¿Sí?
hello Hello.
hell! ¡Hijueputa!
hell! Ay.
hell! Carajo.
hell! Caramba.
hell! puta.
hell! Miércoles.
hell! Mierda.
hell! Pucha.
hell! Puta.
bye Chau.
bye Okey.
annoying cagada
annoying complicada
annoying desastre
annoying difícil
annoying dura
annoying mierda
annoying molesto
annoying porquería
annoying puta
tremendous admirable
tremendous brillante
tremendous buenísimo
tremendous campeón
tremendous capo
tremendous estupendo
tremendous excelente
tremendous extraordinario
tremendous fabuloso
tremendous fantástico
tremendous fenomenal
tremendous genial
tremendous genio
tremendous ídolo
tremendous impresionante
tremendous increíble
tremendous maravilla
tremendous notable
tremendous sobresaliente
tremendous súper
great! ¡Buenísimo!
great! ¡Espectacular!
great! ¡Estupendo!
great! ¡Excelente!
great! ¡Genial!
great! ¡Increíble!
great! ¡Súper!
great! ¡Yupi!
apparently aparentemente
apparently dicen
apparently posiblemente
apparently seguramente
apparently seguro
apparently supuestamente
feverish afiebrado
feverish ardiendo
feverish febril
sewer albañal
sewer alcantarillado
sewer cloaca
stretcher carretillas
handle asa
pretty atractiva
pretty bella
pretty bonita
pretty hermosa
pretty linda
pretty preciosa
uproar algarabía
uproar barullo
uproar bullicio
uproar desorden
uproar farra
uproar fiesta
uproar griterío
uproar kilombo
lock candado
lock cerradura
lock cerrojo
cord cordón
cord cuerda
cord piola
cord piolín
ahead adelante
ahead delante
thread enhebrar
angry bravo
angry irritado
expel despachar
expel despedir
expel echar
expel expulsar
expel rajar
expel sacar
fuck acostarse
fuck coger
fuck pinchar
fuck ponerle
talkative bla-blá
talkative charlatán
talkative conversador
talkative cotorra
talkative hablador
talkative loro
talkative parlanchín
obscene degenerado
obscene indecente
obscene obsceno
obscene porno
obscene pornográfico
obscene sucio
obscene verde
merchandise artículo
merchandise mercadería
merchandise producto
knock-kneed chueco
knock-kneed zambo
skin piel
presentiment corazonada
presentiment impresión
presentiment pálpito
presentiment premonición
presentiment presentimiento
presentiment sensación
presentiment sospecha
resin resina
quarrel agarrón
quarrel altercado
quarrel desavenencia
quarrel discusión
quarrel disputa
quarrel encontronazo
quarrel enfrentamiento
quarrel pelea
quarrel pleito
quarrel problema
quarrel riña
quarrel trifulca
delay retrasar
delay tardar
unfortunate desdichado
unfortunate desfortunado
unfortunate desgraciado
unfortunate infeliz
unfortunate yeta
unfortunate yetatore
spoiled consentido
spoiled malcriado
spoiled maleducado
spoiled mimado
spoiled protegido
spoiled sobreprotegido
aperitif aperitivo
bar chopería
bar pup
broadcast transmitir
camper campista
chalet quinta
coffin cajón
cook cocinar
cook hervir
crane grúa
interim intervalo
interview entrevistar
jogging footing
jogging trotar
landlady empleada
landlady mucama
landlady muchacha
obstinate acahatá
obstinate necio
obstinate obstinado
obstinate testarudo
peanut maní
right! ¡Correcto!
right! ¡Exacto!
right! ¡Justamente!
scratch arañazo
steal robar
sweetener edulcorante
thaw descongelar
thief chorro
thief ladrón
thief ratero
bother fastidiar
bother joder
bribe coimear
bribe comprar
die fallecer
die morirse
dismiss despedirle
dismiss echarlo
exaggerate exagerar
oppose contradercirle
soft-soap cepillarle
spy espiar
wink guiñar
fight agarrarse
fight enfrentarse
fight pelear
junk cachivaches
junk chatarra
junk chucherías
drizzle garúa
drizzle llovizna
pseudo-rifined cursi
pseudo-rifined ordinario
sad angustiado
sad apenado
sad caído
sad decaído
sad deprimido
sad estiesado
sad triste
sleep dormir
sleep dormirse
vulture buitre
vulture urubú
football fútbol
forward delantero
fullback defensa
goalkeeper arquero
cheeks cachetes
cheeks mejillas
cheeks pómulos
