jacket chaqueta
discount promoción
discount rebaja
call llamada
whip fuete
whip látigo
whip vara
teacher maestro
teacher profesor
weeds maleza
weeds matorral
spring manantial
spring naciente
spring vertiente
butter mantequilla
butter nata
block manzana
cheek cachetes
cheek mejillas
peach durazno
monkey chimpancé
monkey mico
monkey mono
mosquito zancudo
jackknife navaja
worker obrero
chance ocasión
chance oportunidad
unemployment desempleo
seafront malecón
potato papa
sponsor auspiciador
sponsor patrocinador
toll peaje
laziness flojera
laziness pereza
laziness vagancia
laziness vaguería
apartment apartamento
apartment departamento
banana guineo
banana plátano
policeman policía
dust polvadera
dust polvareda
spokesman delegado
spokesman portavoz
spokesman representante
spokesman vocero
grade calificación
grade nota
grade puntaje
kerosene querosén
kerosene querosín
pickpocket ladrón
pickpocket ratero
raid allanamiento
raid operativo
relation incumbencia
relation relación
repairing reparación
slip resbalada
slip resbalón
rumor chisme
rumor comentarios
rumor cotilleos
rumor habladuría
rumor rumor
highlander serrano
hissing chiflido
hissing silbido
hissing soplo
position ubicación
arrogance arrogancia
arrogance orgullo
arrogance pedantería
arrogance prepotencia
bribery mordida
bribery soborno
change cambio
change suelto
bar cantina
tidbits bocadillo
tidbits bocadito
earthquake temblor
earthquake terremoto
store almacén
store negocio
store tienda
shooting tiroteo
courage valentía
courage valor
breeze vientecito
breeze vientito
visa visa
glance mirada
glance miradita
glance ojeada
glance vistazo
change vuelto
walk vueltita
sharp afilado
sharp filudo
bitter amargo
yellowish amarillento
before antes
approximately aproximadamente
approximately casi
approximately como
approximately sobre
here acá
here aquí
risky peligroso
risky riesgoso
amazing asombroso
amazing sorprendente
astute astuto
astute avispado
astute despierto
astute listo
astute pila
astute vivo
bluish azulado
brilliant brillante
avaricious ambicioso
avaricious codicioso
thin delgado
thin flaco
inside adentro
difficult complicado
difficult difícil
difficult dificultoso
difficult fregado
where ¿dónde?
angry bravo
angry cabreado
angry caliente
angry disgustado
angry enfadado
angry enojado
angry fastidiado
angry furioso
angry molesto
often frecuentemente
often regularmente
often seguido
outside afuera
greasy grasoso
grayish gris
grayish grisáceo
grayish plomizo
grayish plomo
skillfull capaz
skillfull diestro
skillfull hábil
skillfull habilidoso
beautiful agradable
beautiful bello
beautiful bonito
beautiful hermoso
beautiful lindo
beautiful precioso
bony huesudo
weak débil
weak liviano
filthy cochino
filthy mugroso
very bastante
very bien
very muy
little joven
little niño
little pequeño
standing parado
dusty empolvado
dusty polvoriento
dusty sucio
perhaps derrepente
perhaps quizá
perhaps quizás
fast pronto
fast rápido
next entrante
clear arregladito
clear arreglado
clear impecable
clear limpio
clear nítido
clear ordenado
clear pulcro
which ¿cuál?
radiant feliz
radiant radiante
recently recientemente
recently últimamente
comforting reconfortante
cold catarro
cold gripe
cold resfriado
cold resfrío
broken roto
coarse áspero
coarse bestia
coarse brusco
coarse bruto
coarse grosero
coarse maleducado
coarse ordinario
coarse patán
coarse tosco
slant chueco
slant desalineado
slant inclinado
slant torcido
slant virado
annoy contrariar
annoy fastidiar
annoy fregar
annoy joder
annoy jorobar
arrive llegar
break quebrar
break romper
clear deshierbar
desorient confundir
desorient desorientar
desorient desubicar
dial marcar
dismiss botar
dismiss despedir
dismiss echar
drive manejar
encourage mejorar
escape escaparse
escape liberarse
escape librarse
escape soltarse
escape zafarse
fill calzar
gossip chismear
gossip chismorrear
gossip chismosear
gossip comadrear
gossip murmurar
hurry apurarse
impress impactar
impress impresionar
kidnap raptar
kill asesinar
kill matar
kneel arrodillarse
kneel hincarse
lick lamer
light encender
light prender
matter disgustar
matter enojar
matter importar
miss extrañar
overturn volcarse
pamper malcriar
pamper malenseñar
pamper mimar
park estacionar
park parquear
postpone aplazar
postpone postergar
puff absorber
puff fumar
pull halar
pull jalar
punch golpear
punch pegar
repair arreglar
repair reparar
return regresar
search registrar
seem suponer
shake sacudir
shoot disparar
skin despellejar
sponsor auspiciar
sponsor patrocinar
throw botar
throw lanzar
throw tirar
tie amarrar
turn doblar
turn virar
turn voltear
undress desnudarse
undress desvestirse
unpack desempacar
upset entristecer
value avaluar
value cotizar
watch aguaitar
watch espiar
watch mirar
whistle chiflar
whistle silbar
grind matón
grind tragalibros
truant faltón
cheat copiar
tell-tale chismoso
tell-tale sapo
tell-tale soplón
flatterer adulón
flatterer cepillo
flatterer labioso
bully bravucón
bully bronquista
meek bobo
meek callado
meek retraído
meek shunsho
meek tímido
hooligans pandilleros
hooligans relajosos
repeater aplazados
repeater repetidor
repeater vago
boss jefe
pay salario
tired agotado
tired cansado
tired muerto
penniless pelado
penniless quebrado
party farra
party fiesta
policeman chapa
prison cana
prison cárcel
prison prisión
cigarette cigarrillo
cigarette tabaco
beer biela
beer chela
drug droga
drug marihuana
drug pepas
drug polvo
storm aguacero
storm tempestad
horns cachos
horns cuernos
contact padrino
contact palanca
trouble bronca
trouble lío
trouble vaina
beating cueriza
beating golpiza
beating paliza
baby bebé
baby guagua
drunken borracho
drunken chumado
beat golpear
beat masacrar
thin esquelético
thin flacuchento
fat gordinflón
fat gordo
fat guatón
tall alto
tall jirafa
tall poste
short enano
short patucho
short pequeño
charming alajita
charming atractiva
charming cueraso
charming cuerazo
charming guapa
charming linda
charming rica
attractive apuesto
attractive guapetón
attractive guapo
attractive papacito
attractive pintón
attractive regio
bad-smelling apestoso
bad-smelling cerdo
bad-smelling hediondo
head cabeza
head coco
head mate
hair cabello
hair pelo
feet patas
pregnant barrigona
pregnant embarazada
pregnant encinta
pregnant esperando
competent capaz
competent capo
competent pilas
fool bestia
fool bobo
fool bruto
fool burro
fool estúpido
fool gil
fool imbécil
fool lelo
fool lento
fool pendejo
fool sonso
fool tarado
fool tonto
fool zonzo
coarseness grosería
foolishness bobada
foolishness estupidez
foolishness huevada
foolishness imbecilidad
foolishness majadería
foolishness pendejada
foolishness tontería
informer chismoso
informer sapo
informer soplón
flatterer cepillos
flatterer chupamedias
fluke chiripa
fluke chiripazo
fluke suerte
rich adinerado
rich platudo
rich rico
boring odioso
boring pesado
lazy dejado
lazy flojo
lazy ocioso
lazy vago
lazy vagoneta
poor arrancado
poor pelado
poor pobre
poor pobretón
hello Aló.
hello ¿Aló?
hell! Caramba.
hell! Mierda.
hell! Pucha.
bye Chao.
annoying complicada
annoying desastre
annoying dura
annoying fregado
tremendous brillante
tremendous estupendo
tremendous excelente
tremendous extraordinario
tremendous increíble
tremendous pilas
great! ¡Bacán!
great! ¡Chévere!
apparently dizque
apparently seguramente
apparently supuestamente
sewer alcantarilla
sewer caño
stretcher tablas
handle oreja
pretty atractiva
pretty bonita
pretty guapa
uproar bulla
uproar griterío
lock cerradura
lock chapa
cord cuerda
cord piola
ahead adelante
ahead delante
thread enhebrar
thread ensartar
expel botar
expel despachar
expel despedir
fuck acostarse
talkative hablador
talkative loro
obscene degenerado
obscene indecente
obscene obsceno
merchandise mercadería
merchandise mercancía
merchandise producto
knock-kneed chueco
knock-kneed patichueco
skin piel
presentiment corazonada
presentiment pálpito
presentiment presentimiento
resin resina
quarrel bronca
quarrel pelea
quarrel riña
delay demorar
delay tardar
unfortunate salado
spoiled consentido
spoiled malcriado
spoiled mimado
spoiled sobreprotegido
aperitif aperitivo
broadcast transmitir
camper campista
chalet quinta
coffin ataúd
cook cocinar
cook hervir
crane grúa
interim intervalo
interview entrevistar
jogging trotar
landlady empleada
landlady muchacha
obstinate necio
obstinate testarudo
peanut maní
right! ¡Exacto!
scratch arañón
scratch aruñón
steal chorear
steal robar
sweetener endulzante
thaw descongelar
thief ladrón
thief pillo
thief ratero
bother fastidiar
bother fregar
bother joder
die fallecer
die morirse
dismiss despedirle
exaggerate exagerar
miss añorar
oppose contradercirle
soft-soap cepillarle
spy espiar
wink guiñar
fight pelear
junk cacharros
junk cachivaches
junk chatarra
junk chécheres
junk chucherías
drizzle llovizna
pseudo-rifined cursi
pseudo-rifined ordinario
sad acabado
sad acongojado
sad afligido
sad apenado
sad deprimido
sad entristecido
sad triste
sleep cabecear
sleep dormir
sleep dormirse
vulture buitre
vulture gallinazo
football fútbol
forward delantero
fullback defensa
goalkeeper arquero
goalkeeper guardameta
goalkeeper portero
cheeks cachetes
cheeks mejillas
